### Patch size (bytes) per pair and method

| pair | NEW size | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19 | zstd-19-T0 | xdelta3-9-lzma | full-zstd-19 | full-zstd-19-T0 |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| bsdiff | vault-2.0.3-2.0.4-stripped (393 MB) | 267 | 3376 | 2.04 | 762 | 680 / 1785 | 9.0 | 2.0 |
| hdiffz-m6 | vault-2.0.3-2.0.4 (537 MB) | 161 | 1696 | 0.34 | 27 | 300 / 371 | 3.3 | 0.1 |
| hdiffz-m6-p8 | vault-2.0.3-2.0.4 (537 MB) | 46 | 1709 | 0.35 | 27 | 86 / 130 | 3.3 | 0.1 |
| hdiffz-s64 | vault-2.0.3-2.0.4 (537 MB) | 83 | 224 | 0.45 | 28 | 155 / 200 | 0.4 | 0.1 |
| zstd-19 | prometheus-3.13.2-3.14.0 (136 MB) | 31 | 682 | 0.19 | 269 | 226 / 85 | 5.3 | 2.1 |
| zstd-19-T0 | vault-2.0.3-2.0.4 (537 MB) | 38 | 2398 | 0.69 | 1029 | 70 / 62 | 4.7 | 2.0 |
| xdelta3-9-lzma | vault-2.0.3-2.0.4 (537 MB) | 58 | 4797 | 2.15 | 578 | 107 / 149 | 9.4 | 1.1 |
| full-zstd-19 | prometheus-3.13.2-3.14.0 (136 MB) | 12 | 512 | 0.16 | 13 | 88 / 22 | 3.9 | 0.1 |
| full-zstd-19-T0 | vault-2.0.3-2.0.4 (537 MB) | 23 | 1595 | 0.30 | 13 | 43 / 28 | 3.1 | 0.0 |

### Churn summary (section-aligned byte comparison, bench/scale/churn_scale.py)

| pair | old B | new B | differing % | runs | runs (gap<=8) | median run | largest unchanged | in unchanged runs >=64K | >=256K | >=1M | .text % | .rodata % | .gopclntab % | .debug_* % (bytes) |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---|
| F2.v1-v5 | 29,561,097 | 29,561,097 | 70.0% | 1,952,657 | 59,922 | 3 B | 413,546 | 3.9% | 2.8% | 0.0% | 73.1% | 49.8% | 76.6% | - |
| F2.v4-v5 | 29,561,097 | 29,561,097 | 70.2% | 1,950,124 | 59,877 | 3 B | 413,546 | 3.9% | 2.8% | 0.0% | 73.1% | 49.7% | 77.1% | - |
| kube-apiserver-1.36.3-1.36.4 | 88,387,746 | 88,436,898 | 78.6% | 5,766,047 | 150,096 | 3 B | 903,339 | 1.2% | 1.0% | 0.0% | 82.2% | 69.7% | 78.8% | - |
| prometheus-3.13.1-3.13.2-stripped | 97,552,696 | 97,577,304 | 84.3% | 6,238,411 | 76,646 | 3 B | 334,055 | 0.6% | 0.3% | 0.0% | 94.3% | 73.4% | 80.7% | - |
| prometheus-3.13.2-3.14.0-stripped | 97,577,304 | 102,514,648 | 87.9% | 5,728,508 | 73,217 | 3 B | 63,257 | 0.0% | 0.0% | 0.0% | 95.6% | 80.4% | 83.3% | - |
| terraform-1.15.8-1.15.9 | 117,289,144 | 117,838,008 | 86.8% | 7,576,102 | 97,245 | 3 B | 66,194 | 0.1% | 0.0% | 0.0% | 94.4% | 69.4% | 86.6% | - |
